% Model,200309_CounterPump6 _temp5.mph
% Version,COMSOL 5.6.0.280
% Date,"Jun 18 2022, 08:32"
% Dimension,3
% Nodes,301
% Expressions,1
% Description,
% Length unit,cm
% X,Y,Z,u1 (1)
0,0,-1.5,0.30868749083020425
0,0,-1.49,0.34162132449759697
0,0,-1.48,0.37284915973376054
0,0,-1.47,0.40237099653869596
0,0,-1.46,0.43018683491240334
0,0,-1.45,0.45629667485488323
0,0,-1.44,0.48070051636613503
0,0,-1.43,0.5033983594461591
0,0,-1.42,0.5243902040949552
0,0,-1.41,0.5436760503125233
0,0,-1.4,0.5612558980988637
0,0,-1.39,0.5771297474539762
0,0,-1.38,0.5912975983778609
0,0,-1.37,0.6037594508705174
0,0,-1.3599999999999999,0.6145153049319464
0,0,-1.35,0.6235651605621472
0,0,-1.34,0.6316463998141586
0,0,-1.33,0.6400779419528783
0,0,-1.32,0.6479832251819766
0,0,-1.31,0.6553622495014538
0,0,-1.3,0.6622150149113093
0,0,-1.29,0.6685415214115432
0,0,-1.28,0.6743417690021561
0,0,-1.27,0.6796157576831473
0,0,-1.26,0.6843645705201087
0,0,-1.25,0.6886613136369185
0,0,-1.24,0.6923936033776068
0,0,-1.23,0.6956003512311593
0,0,-1.22,0.6985519033484939
0,0,-1.21,0.7011358248094075
0,0,-1.2,0.7033521156138999
0,0,-1.19,0.705200775761972
0,0,-1.18,0.7067553716568995
0,0,-1.17,0.7080825215642165
0,0,-1.16,0.7091058013172457
0,0,-1.15,0.7100166157361364
0,0,-1.1400000000000001,0.7108149648208888
0,0,-1.13,0.7115008485715022
0,0,-1.12,0.7120873377326975
0,0,-1.1099999999999999,0.7125662635223883
0,0,-1.1,0.7129667108143946
0,0,-1.0899999999999999,0.7132470182480566
0,0,-1.08,0.7133880192064898
0,0,-1.07,0.7133891117810036
0,0,-1.06,0.7132502959715984
0,0,-1.05,0.7129715717782742
0,0,-1.04,0.7125523941095065
0,0,-1.03,0.7119910701432294
0,0,-1.02,0.7112875407362695
0,0,-1.01,0.710441805888626
0,0,-1,0.7094538656002993
0,0,-0.9900000000000001,0.7083237198712898
0,0,-0.98,0.7070739660120079
0,0,-0.97,0.7058575231375454
0,0,-0.96,0.7045532163133736
0,0,-0.95,0.7031607665122539
0,0,-0.9400000000000001,0.7016744722956343
0,0,-0.9299999999999999,0.7001015342275501
0,0,-0.9199999999999999,0.6984419523080011
0,0,-0.91,0.6967963032335905
0,0,-0.9000000000000001,0.6951142930305607
0,0,-0.89,0.6933926844594277
0,0,-0.88,0.6916318096272105
0,0,-0.8699999999999999,0.6898316685339085
0,0,-0.86,0.6879922611795217
0,0,-0.8500000000000001,0.6861135875640503
0,0,-0.84,0.684195647687494
0,0,-0.83,0.6822384415498532
0,0,-0.8199999999999998,0.6802419691511276
0,0,-0.8099999999999999,0.6782062304913173
0,0,-0.8,0.6761312152258253
0,0,-0.79,0.6740166128627972
0,0,-0.78,0.6718623436505844
0,0,-0.77,0.6696684075891873
0,0,-0.76,0.6674348046786054
0,0,-0.75,0.6651615349188389
0,0,-0.74,0.6628485983098877
0,0,-0.73,0.6604959948517524
0,0,-0.72,0.6581037245444321
0,0,-0.71,0.6556872631332805
0,0,-0.7,0.6532641385546079
0,0,-0.69,0.6508335371812831
0,0,-0.6799999999999999,0.6483954590133064
0,0,-0.6699999999999999,0.6459499040506773
0,0,-0.66,0.6434968722933966
0,0,-0.65,0.6410363637414634
0,0,-0.64,0.6385683783948781
0,0,-0.63,0.6360929162536411
0,0,-0.62,0.6336099773177517
0,0,-0.61,0.6311195615872104
0,0,-0.6,0.6286216690620166
0,0,-0.59,0.626116299742171
0,0,-0.58,0.6236034536276734
0,0,-0.57,0.621083130718524
0,0,-0.5599999999999999,0.6185419104148734
0,0,-0.5499999999999999,0.6159921840891291
0,0,-0.54,0.613434408139909
0,0,-0.53,0.6108432548333559
0,0,-0.52,0.6082384662888748
0,0,-0.51,0.6056409253784922
0,0,-0.5,0.6030594922920057
0,0,-0.49,0.6005266641625686
0,0,-0.48,0.5980139575368343
0,0,-0.47000000000000003,0.595487722444734
0,0,-0.45999999999999996,0.5929627745800613
0,0,-0.44999999999999996,0.5904798936627607
0,0,-0.43999999999999995,0.5880390796928311
0,0,-0.42999999999999994,0.5856403326702733
0,0,-0.42,0.583283652595087
0,0,-0.4099999999999999,0.5809601707997286
0,0,-0.3999999999999999,0.5786734798714749
0,0,-0.3899999999999999,0.576424752635434
0,0,-0.3799999999999999,0.5742144504139784
0,0,-0.3699999999999999,0.5720425732071085
0,0,-0.3599999999999999,0.5699091210148239
0,0,-0.34999999999999987,0.5678140938371253
0,0,-0.3400000000000001,0.5657574916740122
0,0,-0.33000000000000007,0.5637393145254846
0,0,-0.32000000000000006,0.5617595623915423
0,0,-0.31000000000000005,0.5598182352721861
0,0,-0.30000000000000004,0.5579153331674152
0,0,-0.29000000000000004,0.5560508560772297
0,0,-0.28,0.55422480400163
0,0,-0.27,0.5524477927804725
0,0,-0.26,0.5507465634464421
0,0,-0.25,0.5491015244354558
0,0,-0.24,0.5475126757475128
0,0,-0.22999999999999998,0.5459800173826136
0,0,-0.21999999999999997,0.5445035493407583
0,0,-0.21,0.5430832716219467
0,0,-0.19999999999999996,0.5417216108921017
0,0,-0.18999999999999995,0.5404254468992559
0,0,-0.17999999999999994,0.5391947130624674
0,0,-0.16999999999999993,0.5380294093817357
0,0,-0.15999999999999992,0.5369295358570612
0,0,-0.1499999999999999,0.5358909109703615
0,0,-0.1399999999999999,0.5349092819585056
0,0,-0.1299999999999999,0.5339943408747488
0,0,-0.11999999999999988,0.5331460877190917
0,0,-0.10999999999999988,0.5323645224915338
0,0,-0.09999999999999987,0.5316496451920755
0,0,-0.09000000000000008,0.5310014558207163
0,0,-0.08000000000000007,0.530419954377457
0,0,-0.07000000000000006,0.5299051408622968
0,0,-0.06000000000000006,0.5294570152752363
0,0,-0.050000000000000044,0.5290761204449766
0,0,-0.040000000000000036,0.5287653508024702
0,0,-0.03000000000000003,0.5285269955765581
0,0,-0.020000000000000018,0.5283588333352242
0,0,-0.010000000000000009,0.5282592004409508
0,0,0,0.528228096893738
0,0,0.010000000000000009,0.5282655226935854
0,0,0.020000000000000018,0.5283689579199837
0,0,0.03000000000000003,0.5285345111470007
0,0,0.040000000000000036,0.5287682292894592
0,0,0.050000000000000044,0.5290701123473593
0,0,0.06000000000000006,0.5294401603207014
0,0,0.07000000000000006,0.5298839272510529
0,0,0.08000000000000007,0.5303972907641311
0,0,0.09000000000000008,0.5309780965829917
0,0,0.10000000000000009,0.5316263447076341
0,0,0.1100000000000001,0.5323404738961133
0,0,0.12000000000000012,0.5331123629148115
0,0,0.13000000000000012,0.5339518024627697
0,0,0.14000000000000012,0.5348587925399875
0,0,0.15000000000000013,0.5358333331464655
0,0,0.16000000000000014,0.536875424282203
0,0,0.16999999999999993,0.537985065947201
0,0,0.17999999999999994,0.5392020564254969
0,0,0.18999999999999995,0.5404571779461467
0,0,0.19999999999999996,0.5417516140580326
0,0,0.21,0.5431021088293934
0,0,0.21999999999999997,0.5445086622602282
0,0,0.22999999999999998,0.5459712743505376
0,0,0.24,0.5474899451003209
0,0,0.25,0.5490641641968687
0,0,0.26,0.5506886593469222
0,0,0.27,0.5523676405526052
0,0,0.28,0.5541011078139177
0,0,0.29000000000000004,0.55588906113086
0,0,0.30000000000000004,0.5577315005034316
0,0,0.31000000000000005,0.5596284259316324
0,0,0.32000000000000006,0.5615798374154635
0,0,0.33000000000000007,0.5635996022498901
0,0,0.3400000000000001,0.5656711915610453
0,0,0.3500000000000001,0.5677771658103897
0,0,0.3600000000000001,0.5699175249979247
0,0,0.3700000000000001,0.5720922691236496
0,0,0.3800000000000001,0.5743013981875645
0,0,0.3900000000000001,0.5765513071251757
0,0,0.4000000000000002,0.5788296081758872
0,0,0.41000000000000014,0.5811322203912791
0,0,0.42,0.5834591437713514
0,0,0.42999999999999994,0.5858103783161044
0,0,0.43999999999999995,0.5881859240255375
0,0,0.44999999999999996,0.5905857808996514
0,0,0.45999999999999996,0.5930099489384454
0,0,0.47000000000000003,0.5954584281419198
0,0,0.48,0.5979312185100748
0,0,0.49,0.6004241706063037
0,0,0.5,0.6029115794523316
0,0,0.5100000000000002,0.6054180583271712
0,0,0.52,0.6079436072308217
0,0,0.5300000000000002,0.6104882261632839
0,0,0.54,0.6130519151245568
0,0,0.5499999999999998,0.6156346741146413
0,0,0.56,0.6182365031335373
0,0,0.5699999999999998,0.6208410206778348
0,0,0.5800000000000001,0.6234140539461788
0,0,0.5899999999999999,0.6259788018462289
0,0,0.6000000000000001,0.6285352643779853
0,0,0.6099999999999999,0.631083441541448
0,0,0.6200000000000001,0.6336233333366166
0,0,0.6299999999999999,0.6361549397634915
0,0,0.6400000000000001,0.6386758713713969
0,0,0.6499999999999999,0.6411773787377357
0,0,0.6600000000000001,0.6436589256849111
0,0,0.6699999999999999,0.6461205122129241
0,0,0.6800000000000002,0.6485621383217741
0,0,0.69,0.6509714654542352
0,0,0.7000000000000002,0.6533594355314216
0,0,0.71,0.6557276190097516
0,0,0.7200000000000002,0.6580760158892254
0,0,0.73,0.6604046261698422
0,0,0.7400000000000002,0.662713449851603
0,0,0.75,0.6650024869345068
0,0,0.7600000000000002,0.6672717374185545
0,0,0.77,0.6695212013037458
0,0,0.7800000000000002,0.6717508785900806
0,0,0.79,0.673960769277559
0,0,0.8000000000000004,0.6761225865899315
0,0,0.8100000000000002,0.6782354418279016
0,0,0.8199999999999998,0.6803213050700606
0,0,0.83,0.6823575858570943
0,0,0.84,0.6843423446273117
0,0,0.8500000000000001,0.686275581380713
0,0,0.8599999999999999,0.6881572961172979
0,0,0.8700000000000001,0.6899874888370667
0,0,0.8799999999999999,0.6917661595400191
0,0,0.8900000000000001,0.6934933082261551
0,0,0.8999999999999999,0.6951689348954747
0,0,0.9100000000000003,0.6967930395479786
0,0,0.9199999999999999,0.6983656221836655
0,0,0.93,0.6998866828025366
0,0,0.9400000000000001,0.7013562214045913
0,0,0.9500000000000002,0.702755774288311
0,0,0.96,0.7040659831056453
0,0,0.9700000000000002,0.7052961573659869
0,0,0.98,0.7064462970693355
0,0,0.9900000000000002,0.7075164022156925
0,0,1,0.7085325049433444
0,0,1.0100000000000002,0.7095846368534283
0,0,1.02,0.7105319969284383
0,0,1.0300000000000002,0.7113745851683744
0,0,1.04,0.7122521957123569
0,0,1.0500000000000003,0.7133208903263604
0,0,1.06,0.7141505695908918
0,0,1.0699999999999998,0.7147412335059512
0,0,1.08,0.7150928820715388
0,0,1.0899999999999999,0.7152055152876542
0,0,1.1,0.7150791331542975
0,0,1.1099999999999999,0.7147137356714688
0,0,1.12,0.7141093228391682
0,0,1.13,0.7132658946573952
0,0,1.1400000000000001,0.7121834511261503
0,0,1.15,0.7108619922454337
0,0,1.1600000000000001,0.7093015180152447
0,0,1.17,0.7075233491408836
0,0,1.1800000000000002,0.7055681440516948
0,0,1.19,0.7033753654197125
0,0,1.2000000000000002,0.7009450132449369
0,0,1.21,0.6982770875273677
0,0,1.2200000000000002,0.6953715882670046
0,0,1.23,0.692228515463848
0,0,1.2400000000000002,0.688847869117898
0,0,1.25,0.6852311485620325
0,0,1.2600000000000002,0.6814844839125515
0,0,1.27,0.6775151994111633
0,0,1.2800000000000002,0.6729832045419549
0,0,1.29,0.6677552231312938
0,0,1.3000000000000003,0.6647147806319983
0,0,1.31,0.6604018322149184
0,0,1.3199999999999998,0.6546650638632312
0,0,1.33,0.6475044755769367
0,0,1.3399999999999999,0.6389200673560351
0,0,1.35,0.6289118392005261
0,0,1.3599999999999999,0.6174797911104101
0,0,1.37,0.6046239230856866
0,0,1.38,0.5903442351263565
0,0,1.3900000000000001,0.5746407272324185
0,0,1.4,0.5575133994038739
0,0,1.4100000000000001,0.5389622516407214
0,0,1.42,0.518987283942963
0,0,1.4300000000000002,0.4975884963105961
0,0,1.44,0.4747658887436227
0,0,1.4500000000000002,0.45051946124204156
0,0,1.46,0.42484921380585383
0,0,1.4700000000000002,0.39775514643505827
0,0,1.48,0.36923725912965677
0,0,1.4900000000000002,0.33929555188964655
0,0,1.5,0.3079300247150291
